event,url,date,location,event_id,event_norm
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,"September 13, 2025","San Antonio, Texas, USA",746,ufc fight night: lopes vs. silva
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,"September 06, 2025","Paris, Ile-de-France, France",745,ufc fight night: imavov vs. borralho
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,"August 23, 2025","Shanghai, Hebei, China",744,ufc fight night: walker vs. zhang
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,"August 16, 2025","Chicago, Illinois, USA",743,ufc 319: du plessis vs. chimaev
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,"August 09, 2025","Las Vegas, Nevada, USA",742,ufc fight night: dolidze vs. hernandez
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,"August 02, 2025","Las Vegas, Nevada, USA",741,ufc fight night: taira vs. park
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,"July 26, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",740,ufc fight night: whittaker vs. de ridder
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,"July 19, 2025","New Orleans, Louisiana, USA",739,ufc 318: holloway vs. poirier 3
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,"July 12, 2025","Nashville, Tennessee, USA",738,ufc fight night: lewis vs. teixeira
UFC 317: Topuria vs. Oliveira,http://ufcstats.com/event-details/66766984842c13dc,"June 28, 2025","Las Vegas, Nevada, USA",737,ufc 317: topuria vs. oliveira
UFC Fight Night: Hill vs. Rountree Jr.,http://ufcstats.com/event-details/400c7b43c86d27d3,"June 21, 2025","Baku, Azerbaijan",736,ufc fight night: hill vs. rountree jr.
UFC Fight Night: Usman vs. Buckley,http://ufcstats.com/event-details/de277a4abcfeea46,"June 14, 2025","Atlanta, Georgia, USA",735,ufc fight night: usman vs. buckley
UFC 316: Dvalishvili vs. O'Malley 2,http://ufcstats.com/event-details/18c49685296c60e6,"June 07, 2025","Newark, New Jersey, USA",734,ufc 316: dvalishvili vs. o'malley 2
UFC Fight Night: Blanchfield vs. Barber,http://ufcstats.com/event-details/2a898bf9fb7710b3,"May 31, 2025","Las Vegas, Nevada, USA",733,ufc fight night: blanchfield vs. barber
UFC Fight Night: Burns vs. Morales,http://ufcstats.com/event-details/8ad022dd81224f61,"May 17, 2025","Las Vegas, Nevada, USA",732,ufc fight night: burns vs. morales
UFC 315: Muhammad vs. Della Maddalena,http://ufcstats.com/event-details/118463dd8db16e7f,"May 10, 2025","Montreal, Quebec, Canada",731,ufc 315: muhammad vs. della maddalena
UFC Fight Night: Sandhagen vs. Figueiredo,http://ufcstats.com/event-details/de20ffb3fc2e7629,"May 03, 2025","Des Moines, Iowa, USA",730,ufc fight night: sandhagen vs. figueiredo
UFC Fight Night: Machado Garry vs. Prates,http://ufcstats.com/event-details/b2e3aca4cd363477,"April 26, 2025","Kansas City, Missouri, USA",729,ufc fight night: machado garry vs. prates
UFC 314: Volkanovski vs. Lopes,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd,"April 12, 2025","Miami, Florida, USA",728,ufc 314: volkanovski vs. lopes
UFC Fight Night: Emmett vs. Murphy,http://ufcstats.com/event-details/86b30a86664cb6e4,"April 05, 2025","Las Vegas, Nevada, USA",727,ufc fight night: emmett vs. murphy
UFC Fight Night: Moreno vs. Erceg,http://ufcstats.com/event-details/0f7210aa8d61af8d,"March 29, 2025","Mexico City, Distrito Federal, Mexico",726,ufc fight night: moreno vs. erceg
UFC Fight Night: Edwards vs. Brady,http://ufcstats.com/event-details/cc2ad11b1f9d818b,"March 22, 2025","London, England, United Kingdom",725,ufc fight night: edwards vs. brady
UFC Fight Night: Vettori vs. Dolidze 2,http://ufcstats.com/event-details/39f62b833e4cf126,"March 15, 2025","Las Vegas, Nevada, USA",724,ufc fight night: vettori vs. dolidze 2
UFC 313: Pereira vs. Ankalaev,http://ufcstats.com/event-details/ca936c67687789e9,"March 08, 2025","Las Vegas, Nevada, USA",723,ufc 313: pereira vs. ankalaev
UFC Fight Night: Kape vs. Almabayev,http://ufcstats.com/event-details/9766ed20b68c7c33,"March 01, 2025","Las Vegas, Nevada, USA",722,ufc fight night: kape vs. almabayev
UFC Fight Night: Cejudo vs. Song,http://ufcstats.com/event-details/c50ea21fe9ef478d,"February 22, 2025","Seattle, Washington, USA",721,ufc fight night: cejudo vs. song
UFC Fight Night: Cannonier vs. Rodrigues,http://ufcstats.com/event-details/ce7871949b0ed2bf,"February 15, 2025","Las Vegas, Nevada, USA",720,ufc fight night: cannonier vs. rodrigues
UFC 312: Du Plessis vs. Strickland 2,http://ufcstats.com/event-details/e6015889f50075d2,"February 08, 2025","Sydney, New South Wales, Australia",719,ufc 312: du plessis vs. strickland 2
UFC Fight Night: Adesanya vs. Imavov,http://ufcstats.com/event-details/80dbeb1dd5b53e64,"February 01, 2025","Riyadh, Riyadh, Saudi Arabia",718,ufc fight night: adesanya vs. imavov
UFC 311: Makhachev vs. Moicano,http://ufcstats.com/event-details/39f68882def7a507,"January 18, 2025","Inglewood, California, USA",717,ufc 311: makhachev vs. moicano
UFC Fight Night: Dern vs. Ribas 2,http://ufcstats.com/event-details/81ddc98fceb30086,"January 11, 2025","Las Vegas, Nevada, USA",716,ufc fight night: dern vs. ribas 2
UFC Fight Night: Covington vs. Buckley,http://ufcstats.com/event-details/72c9c2eadfc3277e,"December 14, 2024","Tampa, Florida, USA",715,ufc fight night: covington vs. buckley
UFC 310: Pantoja vs. Asakura,http://ufcstats.com/event-details/ad23903ef3af7406,"December 07, 2024","Las Vegas, Nevada, USA",714,ufc 310: pantoja vs. asakura
UFC Fight Night: Yan vs. Figueiredo,http://ufcstats.com/event-details/e955046551f8c7dd,"November 23, 2024","Macau, China",713,ufc fight night: yan vs. figueiredo
UFC 309: Jones vs. Miocic,http://ufcstats.com/event-details/daff32bc96d1eabf,"November 16, 2024","New York City, New York, USA",712,ufc 309: jones vs. miocic
UFC Fight Night: Magny vs. Prates,http://ufcstats.com/event-details/585f9ffdb0cd0466,"November 09, 2024","Las Vegas, Nevada, USA",711,ufc fight night: magny vs. prates
UFC Fight Night: Moreno vs. Albazi,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,"November 02, 2024","Edmonton, Alberta, Canada",710,ufc fight night: moreno vs. albazi
UFC 308: Topuria vs. Holloway,http://ufcstats.com/event-details/221b2a3070c7ce3e,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",709,ufc 308: topuria vs. holloway
UFC Fight Night: Hernandez vs. Pereira,http://ufcstats.com/event-details/6a0047ac8c99fece,"October 19, 2024","Las Vegas, Nevada, USA",708,ufc fight night: hernandez vs. pereira
UFC Fight Night: Royval vs. Taira,http://ufcstats.com/event-details/5bdcbd8dd681a257,"October 12, 2024","Las Vegas, Nevada, USA",707,ufc fight night: royval vs. taira
UFC 307: Pereira vs. Rountree Jr.,http://ufcstats.com/event-details/eee8efec7b951d84,"October 05, 2024","Salt Lake City, Utah, USA",706,ufc 307: pereira vs. rountree jr.
UFC Fight Night: Moicano vs. Saint Denis,http://ufcstats.com/event-details/079488710f012779,"September 28, 2024","Paris, Ile-de-France, France",705,ufc fight night: moicano vs. saint denis
UFC 306: Riyadh Season Noche UFC,http://ufcstats.com/event-details/0c01568b1ac77bff,"September 14, 2024","Las Vegas, Nevada, USA",704,ufc 306: riyadh season noche ufc
UFC Fight Night: Burns vs. Brady,http://ufcstats.com/event-details/ee0b69e307c857e5,"September 07, 2024","Las Vegas, Nevada, USA",703,ufc fight night: burns vs. brady
UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/event-details/be8ad887e4d674b0,"August 24, 2024","Las Vegas, Nevada, USA",702,ufc fight night: cannonier vs. borralho
UFC 305: Du Plessis vs. Adesanya,http://ufcstats.com/event-details/32ba186f4b0e3267,"August 17, 2024","Perth, Western Australia, Australia",701,ufc 305: du plessis vs. adesanya
UFC Fight Night: Tybura vs. Spivac 2,http://ufcstats.com/event-details/2c733e059462c1dc,"August 10, 2024","Las Vegas, Nevada, USA",700,ufc fight night: tybura vs. spivac 2
UFC Fight Night: Sandhagen vs. Nurmagomedov,http://ufcstats.com/event-details/fe435e440b5de0ff,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",699,ufc fight night: sandhagen vs. nurmagomedov
UFC 304: Edwards vs. Muhammad 2,http://ufcstats.com/event-details/026b4f7049085842,"July 27, 2024","Manchester, England, United Kingdom",698,ufc 304: edwards vs. muhammad 2
UFC Fight Night: Lemos vs. Jandiroba,http://ufcstats.com/event-details/c11036da9162cb5f,"July 20, 2024","Las Vegas, Nevada, USA",697,ufc fight night: lemos vs. jandiroba
UFC Fight Night: Namajunas vs. Cortez,http://ufcstats.com/event-details/66e0a70352fef46a,"July 13, 2024","Denver, Colorado, USA",696,ufc fight night: namajunas vs. cortez
UFC 303: Pereira vs. Prochazka 2,http://ufcstats.com/event-details/f3743d8ef5dde970,"June 29, 2024","Las Vegas, Nevada, USA",695,ufc 303: pereira vs. prochazka 2
UFC Fight Night: Whittaker vs. Aliskerov,http://ufcstats.com/event-details/b12a1d19ee383b7c,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",694,ufc fight night: whittaker vs. aliskerov
UFC Fight Night: Perez vs. Taira,http://ufcstats.com/event-details/9c5828c6fd9dc948,"June 15, 2024","Las Vegas, Nevada, USA",693,ufc fight night: perez vs. taira
UFC Fight Night: Cannonier vs. Imavov,http://ufcstats.com/event-details/cba3a2dfbc06ce79,"June 08, 2024","Louisville, Kentucky, USA",692,ufc fight night: cannonier vs. imavov
UFC 302: Makhachev vs. Poirier,http://ufcstats.com/event-details/6e4acc2c115215b5,"June 01, 2024","Newark, New Jersey, USA",691,ufc 302: makhachev vs. poirier
UFC Fight Night: Barboza vs. Murphy,http://ufcstats.com/event-details/46baf0f57edfa4df,"May 18, 2024","Las Vegas, Nevada, USA",690,ufc fight night: barboza vs. murphy
UFC Fight Night: Lewis vs. Nascimento,http://ufcstats.com/event-details/5dfe71ade71f3a4b,"May 11, 2024","St. Louis, Missouri, USA",689,ufc fight night: lewis vs. nascimento
UFC 301: Pantoja vs. Erceg,http://ufcstats.com/event-details/981ab7a0576f76a0,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",688,ufc 301: pantoja vs. erceg
UFC Fight Night: Nicolau vs. Perez,http://ufcstats.com/event-details/a16ce18149021139,"April 27, 2024","Las Vegas, Nevada, USA",687,ufc fight night: nicolau vs. perez
UFC 300: Pereira vs. Hill,http://ufcstats.com/event-details/6750e338922a099d,"April 13, 2024","Las Vegas, Nevada, USA",686,ufc 300: pereira vs. hill
UFC Fight Night: Allen vs. Curtis 2,http://ufcstats.com/event-details/899eaba48fa864a6,"April 06, 2024","Las Vegas, Nevada, USA",685,ufc fight night: allen vs. curtis 2
UFC Fight Night: Blanchfield vs. Fiorot,http://ufcstats.com/event-details/dba230fe33011201,"March 30, 2024","Atlantic City, New Jersey, USA",684,ufc fight night: blanchfield vs. fiorot
UFC Fight Night: Ribas vs. Namajunas,http://ufcstats.com/event-details/79ff6545b0abc685,"March 23, 2024","Las Vegas, Nevada, USA",683,ufc fight night: ribas vs. namajunas
