fight_id,event_id,bout
8362,747,Carlos Ulberg vs. Dominick Reyes
8361,747,Jimmy Crute vs. Ivan Erslan
8360,747,Jack Jenkins vs. Ramon Taveras
8359,747,Neil Magny vs. Jake Matthews
8358,747,Tom Nolan vs. Charlie Campbell
8357,747,Navajo Stirling vs. Rodolfo Bellato
8356,747,Cam Rowston vs. Andre Petroski
8355,747,Jamie Mullarkey vs. Rolando Bedoya
8354,747,Colby Thicknesse vs. Josias Musasa
8353,747,Michelle Montague vs. Luana Carolina
8352,747,Brando Pericic vs. Elisha Ellison
8351,747,Alexia Thainara vs. Loma Lookboonmee
8350,746,Diego Lopes vs. Jean Silva
8349,746,David Martinez vs. Rob Font
8348,746,Rafa Garcia vs. Jared Gordon
8347,746,Kelvin Gastelum vs. Dustin Stoltzfus
8346,746,Alexander Hernandez vs. Diego Ferreira
8345,746,Santiago Luna vs. Quang Le
8344,746,Dusko Todorovic vs. Jose Daniel Medina
8343,746,Joaquim Silva vs. Claudio Puelles
8342,746,Tatiana Suarez vs. Amanda Lemos
8341,746,Jesus Aguilar vs. Luis Gurule
8340,746,Zachary Reese vs. Sedriques Dumas
8339,746,Alden Coria vs. Alessandro Costa
8338,746,Montse Rendon vs. Alice Pereira
8337,746,Daniil Donchenko vs. Rodrigo Sezinando
8336,745,Nassourdine Imavov vs. Caio Borralho
8335,745,Benoit Saint Denis vs. Mauricio Ruffy
8334,745,Modestas Bukauskas vs. Paul Craig
8333,745,Mason Jones vs. Bolaji Oki
8332,745,Axel Sola vs. Rhys McKee
8331,745,William Gomis vs. Robert Ruchala
8330,745,Oumar Sy vs. Brendson Ribeiro
8329,745,Ante Delija vs. Marcin Tybura
8328,745,Kaue Fernandes vs. Harry Hardwick
8327,745,Sam Patterson vs. Trey Waters
8326,745,Robert Bryczek vs. Brad Tavares
8325,745,Rinat Fakhretdinov vs. Andreas Gustafsson
8324,745,Sam Hughes vs. Shauna Bannon
8323,744,Johnny Walker vs. Zhang Mingyang
8322,744,Aljamain Sterling vs. Brian Ortega
8321,744,Sergei Pavlovich vs. Waldo Cortes-Acosta
8320,744,Sumudaerji vs. Kevin Borjas
8319,744,Taiyilake Nueraji vs. Kiefer Crosbie
8318,744,Gauge Young vs. Maheshate
8317,744,Charles Johnson vs. Lone'er Kavanagh
8316,744,Rongzhu vs. Austin Hubbard
8315,744,Kyle Daukaus vs. Michel Pereira
8314,744,Yizha vs. Westin Wilson
8313,744,SuYoung You vs. Xiao Long
8312,744,Uran Satybaldiev vs. Diyar Nurgozhay
8311,743,Khamzat Chimaev vs. Dricus Du Plessis
8310,743,Lerone Murphy vs. Aaron Pico
8309,743,Carlos Prates vs. Geoff Neal
8308,743,Michael Page vs. Jared Cannonier
8307,743,Tim Elliott vs. Kai Asakura
8306,743,Baisangur Susurkaev vs. Eric Nolan
8305,743,Michal Oleksiejczuk vs. Gerald Meerschaert
8304,743,Loopy Godinez vs. Jessica Andrade
8303,743,Alexander Hernandez vs. Chase Hooper
8302,743,Drakkar Klose vs. Edson Barboza
8301,743,Karine Silva vs. Dione Barbosa
8300,743,Joseph Morales vs. Alibi Idiris
8299,742,Anthony Hernandez vs. Roman Dolidze
8298,742,Steve Erceg vs. Ode Osbourne
8297,742,Iasmin Lucindo vs. Angela Hill
8296,742,Andre Fili vs. Christian Rodriguez
8295,742,Jean Matsumoto vs. Miles Johns
8294,742,Christian Leroy Duncan vs. Eryk Anders
8293,742,Julius Walker vs. Rafael Cerqueira
8292,742,Elijah Smith vs. Toshiomi Kazama
8291,742,Joselyne Edwards vs. Priscila Cachoeira
8290,742,Uros Medic vs. Gilbert Urbina
8289,742,Gabriella Fernandes vs. Julija Stoliarenko
8288,742,Eric McConico vs. Cody Brundage
8287,741,Tatsuro Taira vs. HyunSung Park
8286,741,Chris Duncan vs. Mateusz Rebecki
8285,741,Esteban Ribovics vs. Elves Brener
8284,741,Karol Rosa vs. Nora Cornolle
8283,741,Neil Magny vs. Elizeu Zaleski dos Santos
8282,741,Kevin Vallejos vs. Danny Silva
8281,741,Rinya Nakamura vs. Nathan Fletcher
8280,741,Rodolfo Vieira vs. Tresean Gore
8279,741,Andrey Pulyaev vs. Nick Klein
8278,741,Austin Bashi vs. John Yannis
8277,741,Rafael Estevam vs. Felipe Bunes
8276,741,Piera Rodriguez vs. Ketlen Souza
8275,740,Reinier de Ridder vs. Robert Whittaker
8274,740,Petr Yan vs. Marcus McGhee
8273,740,Shara Magomedov vs. Marc-Andre Barriault
8272,740,Asu Almabayev vs. Jose Ochoa
8271,740,Bogdan Guskov vs. Nikita Krylov
8270,740,Bryce Mitchell vs. Said Nurmagomedov
8269,740,Muslim Salikhov vs. Carlos Leal
8268,740,Davey Grant vs. Da'Mon Blackshear
8267,740,Tabatha Ricci vs. Amanda Ribas
8266,740,Billy Elekana vs. Ibo Aslan
8265,740,Steven Nguyen vs. Mohammad Yahya
8264,740,Martin Buday vs. Marcus Buchecha
8263,739,Max Holloway vs. Dustin Poirier
8262,739,Paulo Costa vs. Roman Kopylov
8261,739,Daniel Rodriguez vs. Kevin Holland
8260,739,Patricio Freire vs. Dan Ige
8259,739,Michael Johnson vs. Daniel Zellhuber
8258,739,Vinicius Oliveira vs. Kyler Phillips
8257,739,Brendan Allen vs. Marvin Vettori
8256,739,Nikolay Veretennikov vs. Francisco Prado
8255,739,Ateba Gautier vs. Robert Valentin
8254,739,Islam Dulatov vs. Adam Fugitt
8253,739,Jimmy Crute vs. Marcin Prachnio
8252,739,Ryan Spann vs. Lukasz Brzeski
8251,739,Brunno Ferreira vs. Jackson McVey
8250,739,Carli Judice vs. Nicolle Caliari
