fight_id,bout,outcome,weightclass,method,round,time,time format,referee,details,event,fighter_a_nickname,fighter_b_nickname
8363,Carlos Ulberg vs. Dominick Reyes,W/L,Light Heavyweight Bout,KO/TKO ,1,4:27,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head At Distance ,UFC Fight Night: Ulberg vs. Reyes ,Black Jag,The Devastator
8362,Jimmy Crute vs. Ivan Erslan,W/L,Light Heavyweight Bout,Submission ,1,3:19,3 Rnd (5-5-5),Mike Beltran,Rear Naked Choke ,UFC Fight Night: Ulberg vs. Reyes ,,
8361,Jack Jenkins vs. Ramon Taveras,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Evan Field 27 - 30.Clemens Werner 27 - 30.Ben Cartlidge 28 - 29.,UFC Fight Night: Ulberg vs. Reyes ,Phar,The Savage
8360,Jake Matthews vs. Neil Magny,L/W,Welterweight Bout,Submission ,3,3:08,3 Rnd (5-5-5),Jim Perdios,D'Arce Choke From Half Guard ,UFC Fight Night: Ulberg vs. Reyes ,The Celtic Kid,The Haitian Sensation
8359,Tom Nolan vs. Charlie Campbell,W/L,Lightweight Bout,Submission ,1,4:08,3 Rnd (5-5-5),Jim Perdios,Rear Naked Choke ,UFC Fight Night: Ulberg vs. Reyes ,Big Train,The Cannibal
8358,Navajo Stirling vs. Rodolfo Bellato,W/L,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Nathan Pintabona 27 - 30.Clemens Werner 27 - 30.Evan Field 28 - 29.,UFC Fight Night: Ulberg vs. Reyes ,,Trator
8357,Cam Rowston vs. Andre Petroski,W/L,Middleweight Bout,KO/TKO ,1,2:41,3 Rnd (5-5-5),Steve Perceval,Punches to Head From Guard ,UFC Fight Night: Ulberg vs. Reyes ,,
8356,Jamie Mullarkey vs. Rolando Bedoya,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Matt Wynne,Ben Cartlidge 28 - 29.Evan Field 28 - 29.David Lethaby 28 - 29.,UFC Fight Night: Ulberg vs. Reyes ,,The Machine
8355,Colby Thicknesse vs. Josias Musasa,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jim Perdios,Mick Meany 28 - 29.Sal D'amato 28 - 29.Clemens Werner 28 - 29.,UFC Fight Night: Ulberg vs. Reyes ,Slickness,The KO Wizard
8354,Michelle Montague vs. Luana Carolina,W/L,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Steve Perceval,Ben Cartlidge 26 - 29.Evan Field 25 - 30.Nathan Pintabona 26 - 30.,UFC Fight Night: Ulberg vs. Reyes ,The Wild One,Dread
8353,Brando Pericic vs. Elisha Ellison,W/L,Heavyweight Bout,KO/TKO ,1,1:55,3 Rnd (5-5-5),Mike Beltran,Punches to Head From Guard ,UFC Fight Night: Ulberg vs. Reyes ,The Balkan Bear,The Snack Panther
8352,Loma Lookboonmee vs. Alexia Thainara,L/W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Matt Wynne,Nathan Pintabona 27 - 30.Evan Field 27 - 30.Clemens Werner 27 - 30.,UFC Fight Night: Ulberg vs. Reyes ,,Burguesinha
8351,Diego Lopes vs. Jean Silva,W/L,Featherweight Bout,KO/TKO ,2,4:48,5 Rnd (5-5-5-5-5),Mike Beltran,Punches to Head On Ground ,UFC Fight Night: Lopes vs. Silva ,,Lord
8350,Rob Font vs. David Martinez,L/W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Chris Lee 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,UFC Fight Night: Lopes vs. Silva ,,Doctor
8349,Rafa Garcia vs. Jared Gordon,W/L,Lightweight Bout,KO/TKO ,3,2:27,3 Rnd (5-5-5),Kerry Hatley,Elbows to Head From Side Control ,UFC Fight Night: Lopes vs. Silva ,Gifted,Flash
