fight_id,fighter_id,round,kd,sig_str_pct,td_pct,sub_att,rev,ctrl,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
8362,4087,round 1,1,64%,---,0,0,0:03,11,17,11,17,0,0,6,9,2,3,3,5,9,15,0,0,2,2
8362,3279,round 1,0,45%,---,0,0,0:00,5,11,5,11,0,0,0,5,1,1,4,5,5,11,0,0,0,0
8361,816,round 1,0,75%,50%,1,1,2:08,12,16,12,16,2,4,3,7,1,1,8,8,9,12,0,0,3,4
8361,1120,round 1,0,71%,---,0,0,0:05,10,14,10,14,0,0,9,13,0,0,1,1,10,14,0,0,0,0
8360,1844,round 1,0,57%,---,0,0,0:00,32,56,32,56,0,0,14,33,11,16,7,7,29,52,3,4,0,0
8360,1844,round 2,0,69%,33%,0,0,1:04,29,42,29,43,1,3,12,25,5,5,12,12,28,41,1,1,0,0
8360,1844,round 3,0,36%,66%,1,0,2:54,4,11,12,24,2,3,3,10,0,0,1,1,1,2,0,0,3,9
8360,3962,round 1,0,37%,0%,0,0,0:02,16,43,16,43,0,1,11,34,4,8,1,1,16,43,0,0,0,0
8360,3962,round 2,0,34%,0%,0,0,0:25,20,58,30,68,0,2,18,52,2,6,0,0,20,57,0,1,0,0
8360,3962,round 3,0,58%,0%,0,1,1:12,7,12,22,31,0,1,7,12,0,0,0,0,2,6,0,0,5,6
8359,2475,round 1,0,45%,---,1,1,0:22,9,20,10,21,0,0,4,14,3,3,2,3,8,18,1,2,0,0
8359,2475,round 2,0,43%,---,1,0,3:53,7,16,14,23,0,0,5,14,1,1,1,1,6,13,0,0,1,3
8359,2475,round 3,0,25%,0%,1,0,0:28,2,8,4,10,0,1,2,8,0,0,0,0,1,6,1,2,0,0
8359,2360,round 1,0,56%,50%,0,0,1:08,18,32,24,38,1,2,16,30,0,0,2,2,18,31,0,1,0,0
8359,2360,round 2,0,50%,0%,0,0,0:00,7,14,22,29,0,1,7,12,0,1,0,1,7,14,0,0,0,0
8359,2360,round 3,0,54%,100%,1,0,1:38,6,11,27,36,2,2,5,10,1,1,0,0,4,7,2,4,0,0
8358,2859,round 1,0,42%,100%,1,0,0:34,26,61,33,69,1,1,13,35,9,20,4,6,23,55,3,6,0,0
8358,572,round 1,0,35%,0%,0,0,0:18,15,42,15,42,0,1,7,30,1,5,7,7,14,39,0,1,1,2
8357,3857,round 1,0,59%,0%,0,0,0:58,37,62,41,67,0,2,21,37,15,23,1,2,32,56,5,6,0,0
8357,3857,round 2,0,41%,100%,0,0,2:52,16,39,31,68,1,1,11,29,5,10,0,0,12,34,3,4,1,1
8357,3857,round 3,0,49%,0%,0,0,0:03,28,57,29,58,0,1,12,36,15,20,1,1,26,55,2,2,0,0
8357,320,round 1,0,45%,---,0,0,0:40,15,33,20,38,0,0,4,17,5,10,6,6,13,30,2,3,0,0
8357,320,round 2,0,31%,100%,0,0,0:19,6,19,19,34,1,1,5,17,1,2,0,0,6,17,0,0,0,2
8357,320,round 3,0,59%,20%,0,0,1:24,22,37,23,39,1,5,12,26,6,7,4,4,20,34,2,3,0,0
8356,3420,round 1,1,33%,---,0,0,0:36,12,36,20,48,0,0,8,31,1,2,3,3,8,19,0,0,4,17
8356,3103,round 1,0,53%,---,0,0,0:00,7,13,7,13,0,0,0,4,0,1,7,8,7,13,0,0,0,0
8355,2729,round 1,0,37%,100%,0,0,3:49,3,8,3,9,2,2,1,5,0,1,2,2,3,7,0,0,0,1
8355,2729,round 2,0,55%,0%,0,0,1:38,15,27,18,30,0,8,12,22,2,3,1,2,13,24,2,3,0,0
8355,2729,round 3,0,46%,14%,0,0,0:14,25,54,26,55,1,7,19,47,5,6,1,1,24,51,1,3,0,0
8355,310,round 1,0,50%,---,0,0,0:00,5,10,8,14,0,0,2,5,0,2,3,3,5,9,0,0,0,1
8355,310,round 2,0,30%,---,0,0,0:00,10,33,15,40,0,0,6,25,2,4,2,4,8,28,2,5,0,0
8355,310,round 3,0,42%,---,1,0,0:07,31,73,32,75,0,0,24,63,6,7,1,3,24,62,7,11,0,0
8354,3994,round 1,0,57%,16%,1,0,2:43,43,75,72,111,1,6,38,70,2,2,3,3,6,12,0,1,37,62
8354,3994,round 2,0,57%,0%,0,0,1:56,8,14,16,27,0,3,4,9,4,5,0,0,4,9,4,5,0,0
8354,3994,round 3,0,50%,20%,0,0,3:06,11,22,38,61,1,5,6,16,2,3,3,3,5,10,0,0,6,12
8354,2757,round 1,0,44%,50%,0,0,0:11,12,27,18,36,1,2,9,20,0,1,3,6,9,20,3,5,0,2
8354,2757,round 2,0,51%,---,0,0,0:37,18,35,26,45,0,0,9,23,3,4,6,8,7,20,11,15,0,0
8354,2757,round 3,0,48%,---,0,0,0:04,13,27,18,37,0,0,8,18,4,5,1,4,11,22,2,5,0,0
8353,2664,round 1,0,31%,50%,0,0,2:44,10,32,25,56,1,2,8,28,2,3,0,1,5,24,0,0,5,8
8353,2664,round 2,0,53%,66%,0,0,3:42,17,32,38,55,2,3,12,25,4,6,1,1,7,12,1,1,9,19
8353,2664,round 3,0,58%,100%,0,0,4:17,14,24,36,53,2,2,14,24,0,0,0,0,0,0,0,0,14,24
8353,610,round 1,0,66%,---,1,0,0:00,24,36,39,52,0,0,11,20,3,4,10,12,23,34,1,2,0,0
8353,610,round 2,0,60%,---,0,0,0:00,15,25,22,34,0,0,12,21,2,2,1,2,14,22,0,1,1,2
8353,610,round 3,0,42%,---,0,0,0:00,9,21,14,29,0,0,8,19,0,0,1,2,9,21,0,0,0,0
8352,3088,round 1,0,59%,---,0,0,0:29,29,49,30,50,0,0,23,42,2,3,4,4,11,20,12,18,6,11
8352,1092,round 1,0,33%,0%,0,0,0:13,3,9,3,9,0,2,2,8,1,1,0,0,2,8,1,1,0,0
8351,2279,round 1,0,71%,0%,0,0,0:00,15,21,28,36,0,1,9,14,3,3,3,4,14,20,1,1,0,0
8351,2279,round 2,0,45%,---,0,0,0:00,9,20,24,36,0,0,3,12,5,7,1,1,7,15,2,5,0,0
8351,2279,round 3,0,30%,---,0,0,0:11,6,20,15,30,0,0,2,11,4,9,0,0,4,16,2,4,0,0
8351,3989,round 1,0,50%,50%,1,0,2:39,24,48,35,64,2,4,16,35,2,4,6,9,12,30,0,1,12,17
8351,3989,round 2,0,33%,66%,0,0,3:46,12,36,44,75,2,3,9,29,3,3,0,4,7,26,5,8,0,2
8351,3989,round 3,0,34%,25%,0,0,3:37,8,23,31,63,1,4,4,14,2,6,2,3,4,14,4,9,0,0
8350,2283,round 1,0,55%,100%,0,0,1:58,43,77,50,86,1,1,36,67,0,0,7,10,14,24,0,0,29,53
8350,2283,round 2,1,53%,66%,0,0,0:42,31,58,36,68,2,3,27,51,1,1,3,6,17,41,1,2,13,15
8350,3702,round 1,0,50%,---,0,1,0:03,10,20,10,20,0,0,5,11,2,6,3,3,10,20,0,0,0,0
8350,3702,round 2,0,46%,---,0,0,0:00,33,71,33,71,0,0,21,56,8,11,4,4,32,70,1,1,0,0
8349,1238,round 1,0,21%,0%,0,0,0:20,11,51,11,51,0,2,11,48,0,2,0,1,11,51,0,0,0,0
8349,1238,round 2,0,30%,0%,0,0,0:39,15,49,15,49,0,3,9,37,5,11,1,1,15,49,0,0,0,0
8349,1238,round 3,0,39%,---,0,0,0:00,23,58,23,58,0,0,20,53,2,4,1,1,23,58,0,0,0,0
8349,2452,round 1,0,48%,0%,0,0,0:00,22,45,35,58,0,1,7,25,5,8,10,12,22,45,0,0,0,0
8349,2452,round 2,0,37%,0%,0,0,0:30,10,27,30,47,0,1,6,20,3,5,1,2,10,27,0,0,0,0
8349,2452,round 3,0,36%,---,0,0,0:03,30,83,50,105,0,0,20,70,2,3,8,10,30,83,0,0,0,0
8348,1338,round 1,0,53%,100%,0,0,0:24,22,41,23,42,1,1,15,33,2,2,5,6,20,39,2,2,0,0
8348,1338,round 2,0,54%,50%,1,1,1:12,33,61,48,77,1,2,26,54,3,3,4,4,27,55,6,6,0,0
8348,1338,round 3,1,60%,---,1,0,0:25,36,60,36,60,0,0,33,57,2,2,1,1,23,43,2,3,11,14
8348,1436,round 1,0,35%,0%,0,0,0:00,23,64,24,65,0,1,16,55,5,7,2,2,23,64,0,0,0,0
8348,1436,round 2,0,36%,100%,0,0,0:09,31,86,45,100,1,1,29,82,2,4,0,0,31,86,0,0,0,0
8348,1436,round 3,0,30%,0%,0,0,0:00,11,36,11,36,0,1,10,34,1,2,0,0,11,36,0,0,0,0
8347,1345,round 1,0,56%,---,0,0,0:03,14,25,15,26,0,0,4,14,6,7,4,4,14,25,0,0,0,0
8347,1345,round 2,1,53%,---,0,0,0:06,23,43,23,43,0,0,14,30,6,9,3,4,23,43,0,0,0,0
8347,1345,round 3,0,40%,---,0,0,0:14,20,49,20,49,0,0,12,37,4,8,4,4,19,48,1,1,0,0
8347,3862,round 1,0,48%,100%,0,0,0:47,24,49,25,50,1,1,3,23,13,17,8,9,20,44,4,5,0,0
8347,3862,round 2,0,44%,0%,0,1,1:13,20,45,24,49,0,3,12,35,4,5,4,5,15,38,0,0,5,7
8347,3862,round 3,0,38%,0%,0,0,0:00,20,52,20,52,0,2,10,35,8,12,2,5,20,52,0,0,0,0
8346,1643,round 1,0,33%,---,0,0,0:00,12,36,12,36,0,0,7,28,2,4,3,4,12,36,0,0,0,0
8346,1643,round 2,1,46%,---,0,0,0:12,18,39,18,39,0,0,15,35,2,2,1,2,8,25,0,0,10,14
8346,1190,round 1,0,20%,---,0,0,0:00,11,53,11,53,0,0,3,29,6,19,2,5,11,51,0,2,0,0
8346,1190,round 2,0,26%,---,0,0,0:00,12,45,12,45,0,0,5,27,5,16,2,2,12,45,0,0,0,0
8345,2317,round 1,2,37%,0%,0,0,0:47,15,40,17,42,0,1,13,38,1,1,1,1,9,33,3,3,3,4
8345,2173,round 1,0,50%,0%,0,0,0:07,12,24,13,25,0,1,9,19,3,4,0,1,10,22,2,2,0,0
8344,864,round 1,0,36%,---,0,0,0:00,9,25,13,29,0,0,5,17,3,7,1,1,9,24,0,1,0,0
8344,4018,round 1,0,66%,100%,1,0,2:16,16,24,27,36,2,2,10,18,6,6,0,0,10,18,6,6,0,0
8343,3186,round 1,0,37%,66%,0,0,4:22,3,8,37,44,2,3,3,8,0,0,0,0,0,3,0,0,3,5
8343,3186,round 2,0,19%,20%,0,0,0:55,6,31,6,31,1,5,3,28,3,3,0,0,6,31,0,0,0,0
8343,3186,round 3,0,50%,12%,0,0,2:08,12,24,15,27,1,8,8,20,4,4,0,0,10,22,2,2,0,0
8343,3688,round 1,0,0%,---,0,0,0:00,0,4,29,33,0,0,0,4,0,0,0,0,0,4,0,0,0,0
8343,3688,round 2,0,37%,---,1,0,0:18,11,29,13,31,0,0,2,18,5,7,4,4,11,29,0,0,0,0
8343,3688,round 3,1,42%,---,0,0,0:45,14,33,53,72,0,0,10,28,4,5,0,0,8,19,3,5,3,9
8342,3885,round 1,0,70%,20%,0,0,2:58,7,10,25,30,1,5,0,0,1,4,6,6,6,9,1,1,0,0
