fighter_id,first,last,nickname,url
1,Tom,Aaron,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
2,Danny,Abbadi,The Assassin,http://ufcstats.com/fighter-details/15df64c02b6b0fde
3,Nariman,Abbasov,Bayraktar,http://ufcstats.com/fighter-details/59a9d6dac61c2540
4,Darion,Abbey,,http://ufcstats.com/fighter-details/4961467134abd8be
5,David,Abbott,Tank,http://ufcstats.com/fighter-details/b361180739bed4b0
6,Hamdy,Abdelwahab,The Hammer,http://ufcstats.com/fighter-details/3329d692aea4dc28
7,Mansur,Abdul-Malik,,http://ufcstats.com/fighter-details/841695e02c99a521
8,Shamil,Abdurakhimov,Abrek,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
9,Hiroyuki,Abe,Abe Ani,http://ufcstats.com/fighter-details/c0ed7b208197e8de
10,Daichi,Abe,,http://ufcstats.com/fighter-details/5140122c3eecd307
11,Papy,Abedi,Makambo,http://ufcstats.com/fighter-details/c9f6385af6df66d7
12,Ricardo,Abreu,Demente,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
13,Klidson,Abreu,White Bear,http://ufcstats.com/fighter-details/7279654c7674cd24
14,Cyborg,Abreu,,http://ufcstats.com/fighter-details/f689bd7bbd14b392
15,Daniel,Acacio,,http://ufcstats.com/fighter-details/1c5879330d42255f
16,John,Adajar,The Outlaw,http://ufcstats.com/fighter-details/989b85f6540c86b1
17,Scott,Adams,,http://ufcstats.com/fighter-details/2620f3eb21c79614
18,Juan,Adams,The Kraken,http://ufcstats.com/fighter-details/83b00f7597e5ac83
19,Anthony,Adams,Sugafoot,http://ufcstats.com/fighter-details/a77633a989013265
20,Zarrukh,Adashev,The Lion,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
21,Israel,Adesanya,The Last Stylebender,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
22,Sam,Adkins,The Experience,http://ufcstats.com/fighter-details/0e9869d712e81f8f
23,Mohamed,Ado,,http://ufcstats.com/fighter-details/7a846fcbf182a7c8
24,Nick,Agallar,,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
25,Mariya,Agapova,Money Mashka,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
26,Kantharaj,Agasa,Kannadiga,http://ufcstats.com/fighter-details/26f4288e83188c61
27,Marcelo,Aguiar,,http://ufcstats.com/fighter-details/44aa652b181bcf68
28,Fabio,Aguiar,,http://ufcstats.com/fighter-details/501821d7fb7b95c1
29,Edwin,Aguilar,Tigre,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
30,Jessica,Aguilar,Jag,http://ufcstats.com/fighter-details/8f382b3baa954d2a
31,Kevin,Aguilar,Angel of Death,http://ufcstats.com/fighter-details/cf946e03ba2e7666
32,Jesus,Aguilar,,http://ufcstats.com/fighter-details/c051c2e12d692b8a
33,Christian,Aguilera,The Beast,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
34,Nick,Aguirre,Slick,http://ufcstats.com/fighter-details/0978385b2bd9ef9b
35,,Agulali,,http://ufcstats.com/fighter-details/b2efa582adf73604
36,Ahejiang,Ailinuer,,http://ufcstats.com/fighter-details/ff584c17bccbae0b
37,Mike,Aina,Iron,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
38,Ashiek,Ajim,Peak Physique,http://ufcstats.com/fighter-details/49dea784f6cfed71
39,Hitomi,Akano,Girlfight Monster,http://ufcstats.com/fighter-details/2eada40ac8801559
40,Omari,Akhmedov,Wolverine,http://ufcstats.com/fighter-details/16690d100f995f8f
41,Yoshihiro,Akiyama,,http://ufcstats.com/fighter-details/b0550072e5f0afa7
