fighter_id,height,weight,reach,stance,dob,url
1,--,155 lbs.,--,,"Jul 13, 1978",http://ufcstats.com/fighter-details/93fe7332d16c6ad9
2,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",http://ufcstats.com/fighter-details/15df64c02b6b0fde
3,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994",http://ufcstats.com/fighter-details/59a9d6dac61c2540
4,"6' 2""",265 lbs.,"80""",Orthodox,"Feb 25, 1993",http://ufcstats.com/fighter-details/4961467134abd8be
5,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965",http://ufcstats.com/fighter-details/b361180739bed4b0
6,"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993",http://ufcstats.com/fighter-details/3329d692aea4dc28
7,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997",http://ufcstats.com/fighter-details/841695e02c99a521
8,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
9,"5' 6""",145 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/c0ed7b208197e8de
10,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",http://ufcstats.com/fighter-details/5140122c3eecd307
11,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",http://ufcstats.com/fighter-details/c9f6385af6df66d7
12,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984",http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
13,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",http://ufcstats.com/fighter-details/7279654c7674cd24
14,--,--,--,,"Dec 20, 1980",http://ufcstats.com/fighter-details/f689bd7bbd14b392
15,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",http://ufcstats.com/fighter-details/1c5879330d42255f
16,"5' 9""",170 lbs.,"75""",Orthodox,"Jun 22, 1991",http://ufcstats.com/fighter-details/989b85f6540c86b1
17,"6' 0""",225 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/2620f3eb21c79614
18,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",http://ufcstats.com/fighter-details/83b00f7597e5ac83
19,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",http://ufcstats.com/fighter-details/a77633a989013265
20,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
21,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",http://ufcstats.com/fighter-details/1338e2c7480bdf9e
22,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",http://ufcstats.com/fighter-details/0e9869d712e81f8f
23,"5' 11""",170 lbs.,"76""",Switch,"May 03, 2000",http://ufcstats.com/fighter-details/7a846fcbf182a7c8
24,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
25,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",http://ufcstats.com/fighter-details/a08ddd04eaffd81d
26,--,135 lbs.,--,,"Feb 16, 1992",http://ufcstats.com/fighter-details/26f4288e83188c61
27,"5' 10""",170 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/44aa652b181bcf68
